127.0.0.1, 2016-12-21 19:07:56, GET, /examples/default/what, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-12-21 19:07:57, GET, /examples/default/index, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-12-21 19:07:58, GET, /examples/default/index, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-12-21 19:08:03, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2016-12-21 19:08:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.025000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/default/index, HTTP/1.1, 200, 0.170000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-12-21 19:08:07, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-21 19:08:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-21 19:08:12, GET, /admin/default/index, HTTP/1.1, 200, 0.043000
127.0.0.1, 2016-12-21 19:08:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-21 19:08:14, GET, /admin/default/site, HTTP/1.1, 303, 0.015000
127.0.0.1, 2016-12-21 19:08:14, GET, /admin/default/index, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-12-21 19:08:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-21 19:08:18, GET, /admin/default/index, HTTP/1.1, 200, 0.038000
127.0.0.1, 2016-12-21 19:08:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-21 19:08:20, GET, /admin/default/index, HTTP/1.1, 200, 0.070000
127.0.0.1, 2016-12-21 19:08:20, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-21 19:08:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-21 19:08:23, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2016-12-21 19:08:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.024000
127.0.0.1, 2016-12-21 19:08:32, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-12-21 20:17:37, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-12-21 20:21:14, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.034000
127.0.0.1, 2016-12-21 20:21:24, GET, /welcome/default/user/request_reset_password, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-12-21 20:21:26, POST, /welcome/default/user/request_reset_password, HTTP/1.1, 200, 0.023000
